Shop_Name,Cuisine,Location,Rating,Cost_for_Two
FreshMenu,"Chinese, Continental, Italian, Mediterranean, Thai, Lebanese, American, Asian, Beverages, Bakery, Biryani, Cafe, Desserts, Healthy Food, Mexican, North Indian, Salads, Pizzas","1st Block, Koramangala",3.9,₹ 350
Donne Biryani House,Biryani,"7th Block, Koramangala",4.1,₹ 130
Pipabu,"Pizzas, Chinese, Pastas, Salads, American, Continental","4th Block, Koramangala",4.1,₹ 257
Sharmas punjabi restaurant,North Indian,"1st Block, Koramangala",4.1,₹ 200
KFC,"American, Fast Food","Intermediate Ring Road, Koramangala",4.3,₹ 400
Donne Biriyani House,South Indian,"3rd sector, HSR",4,₹ 300
Nanda's,"Andhra, Biryani","HSR, HSR",4,₹ 400
Sagar fast food,"Chinese, South Indian, North Indian, Fast Food","8TH BLOCK, Koramangala",4.3,₹ 200
calicut cafe restaurant,"Fast Food, Beverages","BTM, BTM",4.1,₹ 280
Cake Garden,"Desserts, Bakery","HSR, HSR",3.9,₹ 250
Biryanis and more,"Biryani, South Indian, North Indian, Fast Food, Andhra, Beverages, Mughlai, Seafood, Punjabi, Hyderabadi, Chinese","4th b cross, Koramangala",4.1,₹ 399
Biryani Khazana,Biryani,"Koramangala, Koramangala",4.3,₹ 400
800 Momos,Chinese,"Koramangala, Koramangala",3.7,₹ 150
World of asia,"Beverages, Chinese","BTM, BTM",4,₹ 250
Ghar Ka Khana,North Indian,"BTM, BTM",4.2,₹ 220
Thalassery Restaurant,"South Indian, Biryani, Kerala, North Indian, Chinese","5th Block, Koramangala",3.9,₹ 300
KANNUR FOOD POINT,"Kerala, Chinese","SG palaya, BTM",3.9,₹ 300
KANNOOR RESTAURANT,"North Indian, Chinese","BTM, BTM",4,₹ 250
Fattoush,"Arabian, Beverages, Biryani, Chinese, Desserts, North Indian","BTM, BTM",3.9,₹ 400
Nizams Biryani,"Biryani, Juices, Kebabs","Venkatapura Main Rd, Teacher's Colony, Jakkasandra, HSR",3.6,₹ 200
Nagarjuna,"Andhra, South Indian","KHB Colony, Koramangala",4.3,₹ 600
Punjabi Rasoi,North Indian,"Sector 3, HSR",4,₹ 800
CRAVY WINGS - The American Diner,"American, Fast Food","Bannerghatta Road, Jayanagar",4.3,₹ 300
Barista,"Beverages, Cafe, Snacks","80 Feet Peripheral Road, Koramangala",3.8,₹ 350
BIRIYANI TASTE MASTH(BTM),"North Indian, South Indian","Btm, BTM",4.2,₹ 300
Leon Grill,"Turkish, Portuguese, American, Grill","5th Block, Koramangala",4.3,₹ 300
Khichdi Experiment,"Home Food, Healthy Food, Indian","Koramangala, Koramangala",4.8,₹ 200
Tandoori Merchant,"Andhra, Biryani, Chinese, Desserts, Fast Food, Seafood, South Indian","4th Cross, BTM",4.2,₹ 100
Chinese Bae,"Chinese, Thai","BTM, BTM",4.5,₹ 450
Kitchens of China,Chinese,"Koramangala, Koramangala",4.1,₹ 350
Natural Ice Cream,Ice Cream,"Near Wipro Park Signal, Koramangala",4.6,₹ 150
Abhiruchi Hotel,"Chinese, Hyderabadi, Biryani, Indian, South Indian, Andhra, Tandoor","BTM, BTM",4,₹ 250
Punjabi Swag,"Punjabi, North Indian, Chinese, Fast Food, Healthy Food, Mughlai, Desserts","16th Main Road, BTM",3.7,₹ 400
Truffles,American,"5th Block, Koramangala",4.3,₹ 450
Gyaani Da Punjabi Dhaba,North Indian,"2nd Stage, BTM",4,₹ 500
Biriyani Bhatti,"Biryani, Hyderabadi, Andhra, North Indian, South Indian","Kuvempu Nagar, Stage 2, BTM",4.1,₹ 350
Khawa Karpo,Chinese,"Koramangala, Koramangala",4.3,₹ 178
99 VARIETY DOSA AND JUICE-Malli mane food court,"Fast Food, Juices, North Indian","Koramangala 1st block, Koramangala",4.1,₹ 100
Purani Dilli By Anand Sweets,"North Indian, Chaat, Snacks, Fast Food","5th Block, Koramangala",4.3,₹ 400
XO Belgian Waffle,Desserts,"Koramangala, Koramangala",4.3,₹ 250
BIRYANI CRAFTS,Indian,"BTM, BTM",4.1,₹ 500
Madeena Hotel,"Desserts, Mughlai, Seafood","5th Block Kormangala, Koramangala",4.1,₹ 500
Corner House Ice Cream,"Ice Cream, Desserts","7th Block, Koramangala",4.6,₹ 250
NIC Natural Ice Creams,"Ice Cream, Desserts","Koramangla, Koramangala",4.2,₹ 120
Just Shawarma,Fast Food,"5th block, Koramangala",4,₹ 250
La Pino'z Pizza,Italian,"4th Block, Koramangala",3.9,₹ 251
Mandya Gowdru Donne Biryani,Biryani,"HSR, HSR",--,₹ 350
Dindigul Thalapakatti Biriyani,North Indian,"HSR, HSR",4.1,₹ 650
Delhi Food Point,North Indian,"1st Block, Koramangala",4.1,₹ 132
Easy Bites,"Snacks, American","9th Main Rd, Sector 6, HSR Layout, HSR",3.8,₹ 200
Mad Over Donuts,Desserts,"7th Block, Koramangala",3.9,₹ 350
Village Donne Biriyani,South Indian,"Koramangala, Koramangala",3.6,₹ 300
R.B Food Point,"Chinese, North Indian","Jay Bheema Nagar, BTM",3.7,₹ 350
Paradise Biryani,"Biryani, Kebabs","Koramangala 6th block, Koramangala",4,₹ 300
New Tasty Cafeteria,"Andhra, Chettinad, Chinese, Mughlai, North Indian","Maruthi Nagar, BTM",4,₹ 350
Junior Kuppanna,"Chettinad, South Indian","Sector 6, HSR",4,₹ 550
The Bowl Company,"Continental, Indian, Pan-Asian, Oriental","Jakkasandra Village, Koramangala",4.3,₹ 350
Hotel Savitha Family Restaurant,"North Indian, South Indian","4th block, Koramangala",4,₹ 153
Biryani Pot,"North Indian, Biryani","Madiwala Junction, BTM",4,₹ 500
Bowl 99,"North Indian, South Indian","kormangala, Koramangala",4.4,₹ 200
Kritunga,"Andhra, Biryani","5th Block, Koramangala",3.9,₹ 500
Wok Paper Scissors,"Pan-Asian, Chinese, Asian","JNC Road, Koramangala",3.9,₹ 219
Savoury Restaurant,"Arabian, Middle Eastern, North Indian, Grill, Seafood, Kerala, Chinese","Madiwala, BTM",4.1,₹ 600
Royal Treat,"North Indian, Chinese, Seafood, Biryani","5th block Koramangala, Koramangala",4.2,₹ 193
Thali 99,North Indian,"Koramangala, Koramangala",4.3,₹ 200
Mani's Dum Biryani,"Andhra, Biryani","1st Block, Koramangala",4.2,₹ 400
